iter	MultiClass
0	1.013834803
1	0.9448166503
2	0.8876007453
3	0.8409991047
4	0.8043668951
5	0.7710638828
6	0.7419843762
7	0.7192882723
8	0.6968348529
9	0.6758944366
10	0.6578099049
11	0.6441122111
12	0.6316673668
13	0.618161316
14	0.6041641037
15	0.5920205556
16	0.5833308973
17	0.5729983358
18	0.5629009343
19	0.5543440141
20	0.5457039485
21	0.5383868098
22	0.5308953565
23	0.5242691381
24	0.518426992
25	0.5130399229
26	0.509120879
27	0.5035928004
28	0.4986847113
29	0.4945107545
30	0.4904705248
31	0.4872701687
32	0.4844721664
33	0.4795794514
34	0.4769888939
35	0.4736878645
36	0.470654505
37	0.4674029101
38	0.4645628369
39	0.4618702962
40	0.4583527404
41	0.4562526215
42	0.4518464323
43	0.4485986333
44	0.4455393985
45	0.4433254387
46	0.4411401264
47	0.4391879033
48	0.4373640604
49	0.4352549134
50	0.4344147978
51	0.4313865857
52	0.4303927013
53	0.4279015447
54	0.4266625595
55	0.4245803756
56	0.4233361969
57	0.4216257003
58	0.4202677487
59	0.4187827324
60	0.4167523887
61	0.4150263338
62	0.4129805454
63	0.4116270721
64	0.4098764354
65	0.4076643366
66	0.4059121165
67	0.404121963
68	0.402897923
69	0.4014919319
70	0.3985294612
71	0.3978624752
72	0.3961244493
73	0.394102528
74	0.3930324747
75	0.3918980807
76	0.390707095
77	0.3884649189
78	0.387139802
79	0.3856354385
80	0.3841426248
81	0.3834009071
82	0.3822789314
83	0.3811321466
84	0.3800411394
85	0.3786694534
86	0.3776147489
87	0.3768076024
88	0.3746777509
89	0.3730404602
90	0.3720664483
91	0.3706766036
92	0.3700569329
93	0.3692561599
94	0.3684524876
95	0.3672912148
96	0.3663920696
97	0.3656692722
98	0.3644215582
99	0.3633863937
100	0.3624228339
101	0.3613186722
102	0.3601801484
103	0.3592859508
104	0.3585850677
105	0.3578874438
106	0.3568845366
107	0.3561018913
108	0.3549013834
109	0.3537651463
110	0.353123898
111	0.3523732864
112	0.3512514098
113	0.3506586773
114	0.349777142
115	0.3486911617
116	0.3476242279
117	0.3454873362
118	0.3448886457
119	0.343932428
120	0.3424164687
121	0.3414968284
122	0.3409469862
123	0.3400733951
124	0.3385194103
125	0.3376273173
126	0.3364863215
127	0.3355160698
128	0.3346520912
129	0.3336003338
130	0.3327748458
131	0.3319098168
132	0.331150086
133	0.3304526883
134	0.3294467108
135	0.3284270911
136	0.3276781588
137	0.3267816266
138	0.3262959911
139	0.3250289624
140	0.3240971466
141	0.3230643734
142	0.3223297385
143	0.3211715521
144	0.3201783573
145	0.3190961275
146	0.3179360968
147	0.3169927123
148	0.3165356732
149	0.3160134843
150	0.3154611588
151	0.3145591587
152	0.313161403
153	0.3125359616
154	0.3116747442
155	0.3113551804
156	0.310961721
157	0.3103663905
158	0.3098296048
159	0.3094078528
160	0.3089127287
161	0.3077416169
162	0.3064648454
163	0.305957556
164	0.3052586536
165	0.304081072
166	0.3032763869
167	0.3025897789
168	0.3018579808
169	0.3014690169
170	0.300816201
171	0.2996349858
172	0.298964113
173	0.2985060585
174	0.2978714234
175	0.2974511738
176	0.2969344027
177	0.2962869825
178	0.2954676336
179	0.2948667431
180	0.2938536783
181	0.2934745974
182	0.2928088219
183	0.2920467049
184	0.2911436699
185	0.290531777
186	0.290056367
187	0.2896161505
188	0.2885772037
189	0.2880547452
190	0.2876709464
191	0.2872379969
192	0.2865894567
193	0.2856700521
194	0.2851729539
195	0.2847699963
196	0.284410716
197	0.2839403007
198	0.2833455135
199	0.2828672824
200	0.2822509068
201	0.2813917309
202	0.2809406226
203	0.2802063336
204	0.2797752174
205	0.279244869
206	0.2785605176
207	0.2783313957
208	0.277921275
209	0.2775363926
210	0.2771569169
211	0.2765598034
212	0.2759815554
213	0.2752083223
214	0.2748947937
215	0.2743469787
216	0.274084643
217	0.2735288292
218	0.2732279274
219	0.2726254189
220	0.2722950984
221	0.2720517863
222	0.2717480454
223	0.2714556338
224	0.270981884
225	0.2705747498
226	0.2699263157
227	0.2695525443
228	0.2690474436
229	0.2685490673
230	0.268025221
231	0.2676937106
232	0.2667817811
233	0.2663782316
234	0.2660294404
235	0.2654522081
236	0.2651222315
237	0.2648783229
238	0.2644590145
239	0.2640993762
240	0.2636832435
241	0.2629996553
242	0.2623690267
243	0.2618087054
244	0.2614350229
245	0.2609932419
246	0.2606253273
247	0.26048009
248	0.2601301944
249	0.2595453892
250	0.2591988082
251	0.2589070804
252	0.2585457625
253	0.2582470689
254	0.2580225487
255	0.2576214259
256	0.2573324764
257	0.256889039
258	0.2563750328
259	0.255711573
260	0.2552428743
261	0.2549818224
262	0.2546962029
263	0.2541980823
264	0.2537977615
265	0.2532950718
266	0.2530106327
267	0.2528726459
268	0.2525924446
269	0.2522883388
270	0.2520213929
271	0.2512880023
272	0.2510124414
273	0.2506685234
274	0.2503478101
275	0.2500139713
276	0.2497261405
277	0.2491677173
278	0.2486826703
279	0.2483977864
280	0.2478875414
281	0.2475785552
282	0.2472948267
283	0.2469928964
284	0.246769665
285	0.246599667
286	0.2461169487
287	0.2456685115
288	0.2452842487
289	0.2447824072
290	0.2444478353
291	0.2440977333
292	0.2439217982
293	0.2437281316
294	0.2434402969
295	0.2430821391
296	0.242533138
297	0.2418933364
298	0.2417220971
299	0.2415178116
300	0.2410905028
301	0.240947414
302	0.240186277
303	0.2398050394
304	0.2396121324
305	0.2392506106
306	0.2391388347
307	0.2388905252
308	0.2387004278
309	0.2383700738
310	0.2377224074
311	0.2371849975
312	0.2369383387
313	0.2366630682
314	0.2364489109
315	0.2359187351
316	0.2352814083
317	0.2347797729
318	0.2343717134
319	0.2339961136
320	0.2337030602
321	0.2332599051
322	0.2330919738
323	0.2328796095
324	0.2326922756
325	0.2323812339
326	0.2321090188
327	0.2314290733
328	0.2311253161
329	0.2309268792
330	0.2308200277
331	0.2303415999
332	0.2301869453
333	0.2299325938
334	0.229453994
335	0.2290084309
336	0.2286655568
337	0.2282275912
338	0.2280728465
339	0.2278377834
340	0.2275088489
341	0.2273157962
342	0.2270928607
343	0.2267348237
344	0.2265942551
345	0.2261631425
346	0.2254755762
347	0.2248652095
348	0.224505534
349	0.2240942038
350	0.2238540253
351	0.2236396821
352	0.2232900697
353	0.223176845
354	0.2229089349
355	0.2225761688
356	0.2222461934
357	0.2219516165
358	0.2217822121
359	0.2215860603
360	0.2213359524
361	0.2208083702
362	0.2205652303
363	0.220219018
364	0.2199972263
365	0.2195201977
366	0.2191338745
367	0.2188643339
368	0.2186247639
369	0.2183375517
370	0.218044151
371	0.2178551266
372	0.2173081838
373	0.2170834117
374	0.21685496
375	0.2166173937
376	0.2162844616
377	0.2160875227
378	0.2157732428
379	0.2154144394
380	0.2151504836
381	0.2149222915
382	0.2145669985
383	0.2143492511
384	0.2139663453
385	0.2137417861
386	0.2136103181
387	0.2134476179
388	0.213311441
389	0.2128277265
390	0.2126648604
391	0.212477027
392	0.2122050058
393	0.2121032395
394	0.2118255893
395	0.2116080373
396	0.2114409799
397	0.2110575033
398	0.2108183954
399	0.2102980455
400	0.2101102253
401	0.2098191854
402	0.2096009334
403	0.2090348086
404	0.2088537947
405	0.2086481096
406	0.208220788
407	0.2078851491
408	0.2076707609
409	0.2074918453
410	0.2072489169
411	0.2070328552
412	0.2064598516
413	0.2062401744
414	0.2060843109
415	0.2056931613
416	0.2055278179
417	0.2051948487
418	0.2048844155
419	0.2045379249
420	0.2044185568
421	0.2043145208
422	0.2041772305
423	0.2039558156
424	0.2038557846
425	0.2034243048
426	0.2032984297
427	0.2029085556
428	0.2027385602
429	0.2024159933
430	0.2020205108
431	0.2017416061
432	0.2015521616
433	0.2013911879
434	0.2011095313
435	0.2009366638
436	0.200594487
437	0.2002169377
438	0.1997543501
439	0.1995388831
440	0.199336658
441	0.1990776786
442	0.1989099542
443	0.1987599899
444	0.1985729095
445	0.1984745569
446	0.1982986311
447	0.1981259898
448	0.1979973776
449	0.1976403122
450	0.1974435043
451	0.1973401266
452	0.1972302021
453	0.1967610194
454	0.1965353097
455	0.196351126
456	0.1958973667
457	0.1957961077
458	0.1955706977
459	0.1954745034
460	0.195342019
461	0.195135725
462	0.194988268
463	0.1947438184
464	0.1945904087
465	0.1943420758
466	0.1941232883
467	0.1939556872
468	0.1936797525
469	0.1933433297
470	0.1931829104
471	0.1930481942
472	0.1927392986
473	0.1923925437
474	0.1920776052
475	0.1918923615
476	0.1916782413
477	0.1915379613
478	0.1913241795
479	0.1911333768
480	0.1908355722
481	0.1906778856
482	0.1905906885
483	0.1902170374
484	0.1899167683
485	0.1897649785
486	0.1896664487
487	0.1895571359
488	0.1891043036
489	0.1890167873
490	0.1888071521
491	0.1885761405
492	0.1883136598
493	0.1880131303
494	0.1878219972
495	0.1876164021
496	0.1874766845
497	0.187141927
498	0.1869047596
499	0.186540781
