iter	Passed	Remaining
0	23	11836
1	44	11058
2	64	10752
3	85	10590
4	105	10486
5	126	10409
6	146	10347
7	167	10293
8	187	10254
9	208	10211
10	228	10179
11	249	10144
12	269	10108
13	290	10077
14	310	10049
15	331	10024
16	351	9998
17	372	9973
18	392	9947
19	413	9923
20	434	9899
21	454	9877
22	475	9852
23	495	9828
24	516	9804
25	536	9781
26	556	9756
27	577	9734
28	598	9714
29	618	9691
30	639	9669
31	659	9646
32	680	9625
33	700	9603
34	721	9582
35	741	9559
36	762	9537
37	782	9515
38	803	9494
39	823	9471
40	844	9450
41	864	9428
42	885	9407
43	905	9385
44	926	9364
45	946	9342
46	967	9320
47	987	9298
48	1008	9278
49	1028	9257
50	1049	9235
51	1069	9213
52	1089	9192
53	1110	9170
54	1130	9149
55	1151	9127
56	1171	9106
57	1192	9086
58	1212	9065
59	1233	9044
60	1253	9023
61	1274	9002
62	1294	8981
63	1315	8960
64	1335	8938
65	1356	8917
66	1376	8896
67	1397	8875
68	1417	8854
69	1438	8833
70	1458	8812
71	1478	8791
72	1499	8771
73	1519	8750
74	1540	8728
75	1560	8707
76	1581	8686
77	1601	8665
78	1622	8644
79	1642	8624
80	1663	8603
81	1683	8582
82	1704	8562
83	1724	8541
84	1745	8520
85	1765	8500
86	1786	8479
87	1806	8457
88	1827	8437
89	1847	8416
90	1867	8395
91	1888	8374
92	1908	8354
93	1929	8333
94	1949	8312
95	1970	8292
96	1990	8271
97	2011	8250
98	2031	8230
99	2052	8209
100	2072	8188
101	2093	8167
102	2113	8147
103	2134	8126
104	2154	8105
105	2175	8085
106	2195	8064
107	2216	8043
108	2236	8022
109	2257	8002
110	2277	7981
111	2297	7960
112	2318	7940
113	2338	7919
114	2359	7898
115	2379	7878
116	2400	7857
117	2420	7836
118	2441	7816
119	2461	7795
120	2482	7775
121	2502	7754
122	2523	7733
123	2543	7713
124	2564	7692
125	2584	7671
126	2605	7651
127	2625	7630
128	2646	7610
129	2666	7589
130	2687	7569
131	2707	7548
132	2728	7527
133	2748	7507
134	2769	7486
135	2789	7466
136	2810	7445
137	2830	7424
138	2850	7404
139	2871	7383
140	2891	7363
141	2912	7342
142	2932	7321
143	2953	7301
144	2973	7280
145	2994	7260
146	3014	7239
147	3035	7219
148	3055	7198
149	3076	7177
150	3096	7157
151	3117	7136
152	3137	7116
153	3158	7095
154	3178	7074
155	3199	7054
156	3219	7033
157	3239	7012
158	3260	6992
159	3280	6971
160	3301	6951
161	3321	6930
162	3342	6910
163	3362	6889
164	3383	6868
165	3403	6848
166	3424	6827
167	3444	6807
168	3465	6786
169	3485	6766
170	3506	6745
171	3526	6725
172	3547	6704
173	3567	6684
174	3588	6663
175	3608	6643
176	3629	6622
177	3649	6602
178	3670	6581
179	3690	6561
180	3711	6540
181	3731	6519
182	3752	6499
183	3772	6478
184	3793	6458
185	3813	6437
186	3834	6417
187	3854	6396
188	3875	6376
189	3895	6355
190	3916	6335
191	3936	6314
192	3957	6294
193	3977	6273
194	3998	6253
195	4018	6232
196	4039	6212
197	4059	6191
198	4080	6171
199	4100	6150
200	4121	6130
201	4141	6109
202	4162	6089
203	4182	6068
204	4203	6048
205	4223	6027
206	4244	6007
207	4264	5986
208	4284	5966
209	4305	5945
210	4325	5925
211	4346	5904
212	4366	5884
213	4387	5863
214	4407	5843
215	4428	5822
216	4448	5801
217	4469	5781
218	4489	5760
219	4510	5740
220	4530	5719
221	4551	5699
222	4571	5678
223	4591	5657
224	4612	5637
225	4632	5616
226	4653	5596
227	4673	5575
228	4694	5555
229	4714	5534
230	4735	5514
231	4755	5493
232	4776	5473
233	4796	5452
234	4817	5432
235	4837	5411
236	4858	5391
237	4878	5370
238	4899	5350
239	4919	5329
240	4940	5309
241	4960	5288
242	4981	5268
243	5001	5247
244	5022	5227
245	5042	5206
246	5063	5186
247	5083	5165
248	5104	5145
249	5124	5124
250	5145	5104
251	5165	5083
252	5186	5063
253	5206	5042
254	5227	5022
255	5247	5001
256	5268	4981
257	5288	4960
258	5308	4940
259	5329	4919
260	5350	4899
261	5370	4878
262	5390	4857
263	5411	4837
264	5431	4817
265	5452	4796
266	5472	4775
267	5493	4755
268	5513	4735
269	5534	4714
270	5554	4693
271	5575	4673
272	5595	4653
273	5616	4632
274	5636	4611
275	5657	4591
276	5677	4570
277	5698	4550
278	5718	4530
279	5739	4509
280	5759	4489
281	5780	4468
282	5800	4448
283	5821	4427
284	5841	4407
285	5862	4386
286	5882	4366
287	5903	4345
288	5923	4325
289	5944	4304
290	5964	4284
291	5985	4263
292	6005	4243
293	6026	4222
294	6046	4202
295	6067	4181
296	6087	4161
297	6108	4140
298	6128	4120
299	6149	4099
300	6169	4079
301	6190	4058
302	6210	4038
303	6231	4017
304	6251	3997
305	6272	3976
306	6292	3955
307	6313	3935
308	6333	3914
309	6353	3894
310	6374	3873
311	6395	3853
312	6415	3832
313	6436	3812
314	6456	3791
315	6476	3771
316	6497	3750
317	6518	3730
318	6538	3709
319	6559	3689
320	6579	3668
321	6600	3648
322	6620	3627
323	6640	3607
324	6661	3586
325	6681	3566
326	6702	3545
327	6723	3525
328	6743	3505
329	6764	3484
330	6784	3464
331	6805	3443
332	6825	3423
333	6846	3402
334	6866	3382
335	6887	3361
336	6907	3341
337	6928	3320
338	6948	3300
339	6968	3279
340	6989	3259
341	7009	3238
342	7030	3217
343	7050	3197
344	7071	3177
345	7091	3156
346	7112	3136
347	7133	3115
348	7153	3095
349	7174	3074
350	7194	3054
351	7215	3033
352	7235	3013
353	7256	2992
354	7276	2972
355	7296	2951
356	7317	2931
357	7337	2910
358	7358	2890
359	7378	2869
360	7399	2849
361	7419	2828
362	7440	2808
363	7460	2787
364	7481	2767
365	7501	2746
366	7522	2726
367	7542	2705
368	7563	2685
369	7583	2664
370	7604	2644
371	7624	2623
372	7646	2603
373	7667	2583
374	7688	2562
375	7708	2542
376	7729	2521
377	7749	2501
378	7770	2480
379	7790	2460
380	7811	2439
381	7831	2419
382	7852	2398
383	7872	2378
384	7893	2357
385	7913	2337
386	7934	2316
387	7954	2296
388	7975	2275
389	7995	2255
390	8016	2234
391	8036	2214
392	8057	2193
393	8077	2173
394	8098	2152
395	8118	2132
396	8139	2111
397	8159	2091
398	8180	2070
399	8200	2050
400	8221	2029
401	8243	2009
402	8263	1989
403	8284	1968
404	8304	1948
405	8325	1927
406	8345	1907
407	8366	1886
408	8386	1865
409	8407	1845
410	8427	1824
411	8448	1804
412	8468	1783
413	8489	1763
414	8509	1742
415	8530	1722
416	8550	1701
417	8571	1681
418	8591	1660
419	8612	1640
420	8632	1619
421	8653	1599
422	8674	1579
423	8694	1558
424	8715	1537
425	8735	1517
426	8756	1496
427	8777	1476
428	8797	1455
429	8817	1435
430	8838	1414
431	8859	1394
432	8879	1373
433	8900	1353
434	8920	1332
435	8941	1312
436	8961	1291
437	8982	1271
438	9002	1250
439	9023	1230
440	9043	1209
441	9064	1189
442	9084	1168
443	9105	1148
444	9125	1127
445	9146	1107
446	9166	1086
447	9187	1066
448	9207	1045
449	9228	1025
450	9248	1004
451	9269	984
452	9289	963
453	9310	943
454	9330	922
455	9351	902
456	9371	881
457	9392	861
458	9412	840
459	9433	820
460	9453	799
461	9473	779
462	9494	758
463	9514	738
464	9535	717
465	9556	697
466	9576	676
467	9596	656
468	9617	635
469	9637	615
470	9658	594
471	9678	574
472	9699	553
473	9719	533
474	9740	512
475	9761	492
476	9781	471
477	9802	451
478	9822	430
479	9843	410
480	9863	389
481	9884	369
482	9904	348
483	9925	328
484	9945	307
485	9966	287
486	9986	266
487	10006	246
488	10027	225
489	10047	205
490	10068	184
491	10088	164
492	10109	143
493	10130	123
494	10150	102
495	10170	82
496	10191	61
497	10212	41
498	10232	20
499	10253	0
