reaction,biomass_type
protein_biomass_to_biomass,protein
mRNA_biomass_to_biomass,mRNA
tRNA_biomass_to_biomass,tRNA
rRNA_biomass_to_biomass,rRNA
ncRNA_biomass_to_biomass,ncRNA
DNA_biomass_to_biomass,DNA
lipid_biomass_to_biomass,lipid
prosthetic_group_biomass_to_biomass,prosthetic_group
constituent_biomass_to_biomass,constituent
biomass_constituent_demand,constituent
peptidoglycan_biomass_to_biomass,peptidoglycan
core_structural_demand_brauns,peptidoglycan
DNA_replication,DNA
transcription_TU0_14486_from_RpoD_mono,rRNA
transcription_TU0_14487_from_RpoD_mono,rRNA
transcription_TU0_14510_from_RpoD_mono,rRNA
transcription_TU0_1181_from_RpoD_mono,rRNA
transcription_TU0_1182_with_TERM0_1116_from_RpoD_mono,rRNA
transcription_TU0_1182_with_TERM0_1115_from_RpoD_mono,rRNA
transcription_TU0_1183_with_TERM0_1117_from_RpoD_mono,rRNA
transcription_TU0_1184_with_TERM0_1117_from_RpoD_mono,rRNA
transcription_TU0_1186_from_RpoD_mono,rRNA
transcription_TU0_14524_from_RpoD_mono,rRNA
transcription_TU0_1187_from_RpoD_mono,rRNA
transcription_TU0_1188_from_RpoD_mono,rRNA
transcription_TU0_1189_from_RpoD_mono,rRNA
transcription_TU0_14528_with_TERM0_1115_from_RpoD_mono,rRNA
transcription_TU0_14528_with_TERM0_1116_from_RpoD_mono,rRNA
transcription_TU0_1190_from_RpoD_mono,rRNA
transcription_TU0_1191_from_RpoD_mono,rRNA
transcription_TU0_14530_from_RpoD_mono,rRNA
transcription_TU0_1192_from_RpoD_mono,rRNA
transcription_TU0_14533_from_RpoD_mono,rRNA
transcription_TU0_3364_with_TERM0_1115_from_RpoD_mono,rRNA
transcription_TU0_3364_with_TERM0_1116_from_RpoD_mono,rRNA
transcription_TU0_13350_from_RpoD_mono,mRNA
transcription_TU0_7622_from_RpoD_mono,mRNA
transcription_TU00158_from_RpoD_mono,mRNA
transcription_TU0_1002_from_RpoD_mono,mRNA
transcription_TU0_4702_with_TERM0223_from_RpoD_mono,mRNA
